meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1211,9097,1,21,1,2,HARD,0
1211,9097,1,22,1,2,HARD,0
1211,9097,1,16,1,3,MEDIUM,0
1211,9097,1,55,1,3,MEDIUM,0
1211,9097,1,2,1,4,SOFT,0
1211,9097,1,10,1,4,MEDIUM,0
1211,9097,1,23,1,4,SOFT,0
1211,9097,1,31,1,4,MEDIUM,0
1211,9097,1,1,1,5,SOFT,0
1211,9097,1,4,1,6,SOFT,0
1211,9097,1,11,1,6,SOFT,0
1211,9097,1,14,1,6,SOFT,0
1211,9097,1,18,1,6,SOFT,0
1211,9097,1,20,1,6,SOFT,0
1211,9097,1,24,1,6,SOFT,0
1211,9097,1,27,1,6,SOFT,0
1211,9097,1,44,1,6,SOFT,0
1211,9097,1,63,1,6,SOFT,0
1211,9097,1,77,1,6,SOFT,0
1211,9097,1,81,1,6,SOFT,0
1211,9097,2,21,2,7,SOFT,0
1211,9097,2,22,2,7,SOFT,0
1211,9097,2,16,3,6,SOFT,0
1211,9097,2,55,3,6,SOFT,0
1211,9097,2,2,4,5,SOFT,0
1211,9097,2,10,4,6,SOFT,0
1211,9097,2,23,4,6,SOFT,0
1211,9097,2,31,4,6,SOFT,0
1211,9097,2,1,5,8,INTERMEDIATE,0
1211,9097,2,4,6,7,INTERMEDIATE,0
1211,9097,2,14,6,9,INTERMEDIATE,0
1211,9097,2,20,6,9,INTERMEDIATE,0
1211,9097,2,27,6,9,INTERMEDIATE,0
1211,9097,2,44,6,9,SOFT,5
1211,9097,2,18,6,10,INTERMEDIATE,0
1211,9097,3,16,6,10,INTERMEDIATE,0
1211,9097,2,11,6,11,INTERMEDIATE,0
1211,9097,2,24,6,11,INTERMEDIATE,0
1211,9097,2,77,6,11,INTERMEDIATE,0
1211,9097,2,63,6,12,INTERMEDIATE,0
1211,9097,3,10,6,12,INTERMEDIATE,0
1211,9097,3,23,6,12,INTERMEDIATE,0
1211,9097,3,55,6,12,INTERMEDIATE,0
1211,9097,2,81,6,13,INTERMEDIATE,0
1211,9097,3,31,6,13,INTERMEDIATE,0
1211,9097,3,4,7,12,INTERMEDIATE,1
1211,9097,3,21,7,12,INTERMEDIATE,0
1211,9097,3,22,7,12,INTERMEDIATE,0
1211,9097,3,1,8,11,INTERMEDIATE,3
1211,9097,3,20,9,10,INTERMEDIATE,3
1211,9097,3,27,9,10,INTERMEDIATE,3
1211,9097,3,14,9,14,SOFT,5
1211,9097,4,20,10,12,SOFT,0
1211,9097,4,27,10,12,SOFT,5
1211,9097,4,16,10,13,INTERMEDIATE,4
1211,9097,3,18,10,14,SOFT,5
1211,9097,4,1,11,12,SOFT,0
1211,9097,3,11,11,14,SOFT,0
1211,9097,3,24,11,15,SOFT,0
1211,9097,3,77,11,15,SOFT,0
1211,9097,4,23,12,13,SOFT,3
1211,9097,4,10,12,14,INTERMEDIATE,6
1211,9097,4,55,12,14,INTERMEDIATE,6
1211,9097,5,1,12,14,SOFT,1
1211,9097,3,63,12,16,SOFT,5
1211,9097,4,22,12,16,SOFT,5
1211,9097,4,21,12,18,SOFT,5
1211,9097,4,4,12,20,SOFT,5
1211,9097,4,31,13,15,INTERMEDIATE,7
1211,9097,3,81,13,17,SOFT,5
1211,9097,5,16,13,18,SOFT,3
1211,9097,5,55,14,20,SOFT,3
