meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1215,9128,1,24,1,2,MEDIUM,10
1215,9128,1,77,1,2,MEDIUM,0
1215,9128,1,16,1,4,MEDIUM,6
1215,9128,1,44,1,4,MEDIUM,0
1215,9128,1,63,1,4,MEDIUM,0
1215,9128,1,2,1,5,SOFT,8
1215,9128,1,23,1,5,SOFT,12
1215,9128,1,1,1,6,MEDIUM,0
1215,9128,1,55,1,6,MEDIUM,6
1215,9128,1,11,1,7,MEDIUM,3
1215,9128,1,14,1,7,SOFT,6
1215,9128,1,18,1,7,SOFT,6
1215,9128,1,81,1,7,SOFT,0
1215,9128,1,20,1,8,SOFT,9
1215,9128,1,27,1,8,MEDIUM,0
1215,9128,1,4,1,10,SOFT,3
1215,9128,1,10,1,10,SOFT,3
1215,9128,1,31,1,10,SOFT,3
1215,9128,1,3,1,13,MEDIUM,16
1215,9128,1,22,1,14,MEDIUM,8
1215,9128,2,24,2,3,MEDIUM,11
1215,9128,2,77,2,3,MEDIUM,15
1215,9128,3,24,3,4,MEDIUM,0
1215,9128,3,77,3,4,MEDIUM,16
1215,9128,4,24,4,5,MEDIUM,13
1215,9128,4,77,4,5,MEDIUM,17
1215,9128,2,44,4,6,MEDIUM,3
1215,9128,2,63,4,14,MEDIUM,0
1215,9128,2,16,4,21,MEDIUM,9
1215,9128,5,24,5,6,MEDIUM,14
1215,9128,5,77,5,6,MEDIUM,18
1215,9128,2,23,5,9,SOFT,0
1215,9128,2,2,5,11,SOFT,0
1215,9128,3,44,6,9,MEDIUM,5
1215,9128,6,24,6,9,SOFT,0
1215,9128,6,77,6,9,SOFT,0
1215,9128,2,1,6,18,MEDIUM,5
1215,9128,2,55,6,23,MEDIUM,11
1215,9128,2,18,7,8,SOFT,12
1215,9128,2,14,7,10,SOFT,12
1215,9128,2,81,7,13,MEDIUM,0
1215,9128,2,11,7,19,MEDIUM,9
1215,9128,3,18,8,12,HARD,0
1215,9128,2,20,8,13,MEDIUM,0
1215,9128,2,27,8,15,MEDIUM,7
1215,9128,3,23,9,11,SOFT,4
1215,9128,4,44,9,12,MEDIUM,8
1215,9128,7,24,9,12,SOFT,3
1215,9128,7,77,9,12,SOFT,3
1215,9128,3,14,10,13,SOFT,0
1215,9128,2,4,10,16,MEDIUM,0
1215,9128,2,10,10,16,MEDIUM,0
1215,9128,2,31,10,17,MEDIUM,0
1215,9128,3,2,11,14,MEDIUM,0
1215,9128,4,23,11,14,MEDIUM,0
1215,9128,8,24,12,13,MEDIUM,15
1215,9128,8,77,12,13,MEDIUM,19
1215,9128,5,44,12,15,SOFT,0
1215,9128,4,18,12,18,SOFT,0
1215,9128,4,14,13,16,SOFT,0
1215,9128,9,24,13,18,HARD,0
1215,9128,3,81,13,19,MEDIUM,0
1215,9128,3,20,13,20,MEDIUM,5
1215,9128,2,3,13,21,HARD,0
1215,9128,9,77,13,22,HARD,0
1215,9128,4,2,14,16,SOFT,6
1215,9128,3,63,14,17,SOFT,0
1215,9128,5,23,14,17,SOFT,0
1215,9128,2,22,14,22,HARD,0
1215,9128,6,44,15,20,MEDIUM,0
1215,9128,3,27,15,21,SOFT,0
1215,9128,3,4,16,19,MEDIUM,0
1215,9128,3,10,16,19,MEDIUM,6
1215,9128,5,14,16,20,SOFT,0
1215,9128,3,31,17,20,MEDIUM,7
1215,9128,4,63,17,20,SOFT,3
1215,9128,5,18,18,20,SOFT,6
1215,9128,3,1,18,21,SOFT,0
1215,9128,10,24,18,21,HARD,0
1215,9128,3,11,19,22,SOFT,0
1215,9128,4,10,19,22,MEDIUM,9
1215,9128,4,31,20,22,MEDIUM,10
1215,9128,5,63,20,22,MEDIUM,13
1215,9128,4,20,20,26,SOFT,0
1215,9128,4,1,21,23,SOFT,3
1215,9128,11,24,21,23,MEDIUM,16
1215,9128,3,3,21,26,MEDIUM,0
1215,9128,3,16,21,28,SOFT,0
1215,9128,10,77,22,24,SOFT,0
1215,9128,3,22,22,25,MEDIUM,0
1215,9128,4,11,22,25,SOFT,3
1215,9128,3,55,23,26,SOFT,0
1215,9128,4,22,25,29,MEDIUM,3
1215,9128,4,3,26,28,MEDIUM,5
1215,9128,4,55,26,29,SOFT,3
