meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1215,9127,1,11,1,4,SOFT,0
1215,9127,1,16,1,4,MEDIUM,0
1215,9127,1,44,1,4,MEDIUM,2
1215,9127,1,55,1,4,MEDIUM,0
1215,9127,1,14,1,6,MEDIUM,0
1215,9127,1,20,1,6,HARD,0
1215,9127,1,27,1,6,MEDIUM,3
1215,9127,1,77,1,6,MEDIUM,3
1215,9127,1,81,1,6,MEDIUM,0
1215,9127,1,1,1,7,SOFT,0
1215,9127,1,2,1,7,SOFT,0
1215,9127,1,24,1,8,MEDIUM,1
1215,9127,1,4,1,9,MEDIUM,0
1215,9127,1,10,1,9,MEDIUM,2
1215,9127,1,22,1,9,MEDIUM,0
1215,9127,1,23,1,9,SOFT,1
1215,9127,1,63,1,9,MEDIUM,4
1215,9127,1,18,1,10,MEDIUM,0
1215,9127,1,31,1,11,MEDIUM,3
1215,9127,1,3,1,12,MEDIUM,4
1215,9127,2,16,4,7,MEDIUM,3
1215,9127,2,55,4,7,MEDIUM,0
1215,9127,2,44,4,8,MEDIUM,5
1215,9127,2,11,4,9,SOFT,0
1215,9127,2,77,6,9,MEDIUM,8
1215,9127,2,14,6,11,MEDIUM,5
1215,9127,2,27,6,11,SOFT,0
1215,9127,2,81,6,12,MEDIUM,5
1215,9127,2,20,6,15,SOFT,0
1215,9127,2,1,7,10,SOFT,6
1215,9127,3,16,7,10,SOFT,0
1215,9127,3,55,7,10,SOFT,0
1215,9127,2,2,7,12,MEDIUM,0
1215,9127,2,24,8,10,MEDIUM,0
1215,9127,3,44,8,11,MEDIUM,0
1215,9127,2,4,9,12,SOFT,0
1215,9127,2,10,9,12,SOFT,0
1215,9127,2,22,9,12,SOFT,0
1215,9127,3,11,9,12,MEDIUM,0
1215,9127,2,23,9,14,MEDIUM,0
1215,9127,3,77,9,17,MEDIUM,0
1215,9127,2,63,9,18,MEDIUM,12
1215,9127,3,24,10,11,MEDIUM,10
1215,9127,4,16,10,12,SOFT,3
1215,9127,4,55,10,12,SOFT,3
1215,9127,2,18,10,16,SOFT,0
1215,9127,3,1,10,18,SOFT,9
1215,9127,2,31,11,14,SOFT,0
1215,9127,3,14,11,14,SOFT,0
1215,9127,4,24,11,14,MEDIUM,0
1215,9127,4,44,11,28,MEDIUM,12
1215,9127,3,27,11,29,MEDIUM,8
1215,9127,3,2,12,13,SOFT,6
1215,9127,4,11,12,14,SOFT,0
1215,9127,3,22,12,15,SOFT,3
1215,9127,2,3,12,18,SOFT,0
1215,9127,3,81,12,18,MEDIUM,11
1215,9127,5,16,12,20,SOFT,5
1215,9127,5,55,12,20,SOFT,5
1215,9127,3,10,12,26,MEDIUM,10
1215,9127,3,4,12,30,MEDIUM,8
1215,9127,4,2,13,14,SOFT,7
1215,9127,3,23,14,17,SOFT,9
1215,9127,5,24,14,17,MEDIUM,3
1215,9127,4,14,14,28,MEDIUM,10
1215,9127,3,31,14,30,MEDIUM,13
1215,9127,5,2,14,30,MEDIUM,5
1215,9127,3,20,15,27,HARD,5
1215,9127,4,22,15,31,SOFT,6
1215,9127,3,18,16,31,MEDIUM,9
1215,9127,4,77,17,20,MEDIUM,11
1215,9127,6,24,17,21,MEDIUM,6
1215,9127,4,23,17,32,MEDIUM,5
1215,9127,3,3,18,18,SOFT,15
1215,9127,3,63,18,23,MEDIUM,21
1215,9127,4,3,19,20,MEDIUM,6
1215,9127,5,3,20,28,SOFT,7
1215,9127,5,77,20,29,MEDIUM,8
1215,9127,7,24,21,31,MEDIUM,11
1215,9127,5,14,28,30,MEDIUM,24
1215,9127,6,3,28,30,SOFT,15
1215,9127,6,14,30,32,SOFT,3
1215,9127,4,18,31,33,MEDIUM,24
